paper_id,title,authors,author_affiliations,year,doi,venue_name,venue_type,venue_year,keywords,abstract,datasets_used,dataset_domains,methodology,methodology_category,cited_paper_ids,page_count,language,publisher,isbn_issn,pdf_filename,local_path,file_size_kb,scholar_url,date_added,notes
P001,A Relational Model of Data for Large Shared Data Banks,E. F. Codd,"IBM Research Laboratory, San Jose, California",1970,10.1145/362384.362685,Communications of the ACM,journal,1970,relational model; data banks; data independence; relational algebra; normal forms; database architecture,"Future users of large data banks must be protected from having to know how the data is organized in the machine. A model of data based on n-ary relations, a normal form for data base relations, and the concept of a universal data sublanguage are introduced. In contrast to existing tree-structured or network-structured models, the relational model provides a means of describing data with its natural structure only.",Synthetic Tree and Network Stores,synthetic data management,Mathematical Modeling; Conceptual Proof,Theoretical; Formal Analysis,,11,English,ACM,0001-0782,A Relational Model of Data for Large Shared Data Banks.pdf,data/A Relational Model of Data for Large Shared Data Banks.pdf,1241,https://scholar.google.com/scholar?q=A+Relational+Model+of+Data+for+Large+Shared+Data+Banks,2026-09-14,Foundational paper introducing the relational data model.
P002,System R: Relational Approach to Database Management,M. M. Astrahan; M. W. Blasgen; D. D. Chamberlin; K. P. Eswaran; J. N. Gray; P. P. Griffiths; W. F. King; R. A. Lorie; P. R. McJones; J. W. Mehl; G. R. Putzolu; I. L. Traiger; B. W. Wade; V. Watson,IBM Research Laboratory; IBM Research Laboratory; IBM Research Laboratory; IBM Research Laboratory; IBM Research Laboratory; IBM Research Laboratory; IBM Research Laboratory; IBM Research Laboratory; IBM Research Laboratory; IBM Research Laboratory; IBM Research Laboratory; IBM Research Laboratory; IBM Research Laboratory; IBM Research Laboratory,1976,10.1145/320455.320466,ACM Transactions on Database Systems,journal,1976,System R; relational DBMS; SQL; concurrency control; recovery subsystem; query compilation; locking,"System R is a database management system which provides a high level relational data interface. The system provides a high level of data independence by isolating the end user as much as possible from underlying storage structures. The system permits definition of a variety of relational views on common underlying data, authorization, integrity assertions, triggered transactions, logging, and recovery.",IBM Internal Benchmarks,enterprise transaction processing,System Implementation; Empirical Evaluation,Systems; Experimental,P001,41,English,ACM,0362-5915,System R Relational Approach to Database.pdf,data/System R Relational Approach to Database.pdf,3105,https://scholar.google.com/scholar?q=The+System+R+Relational+Database+Management+System,2026-09-14,First complete implementation of SQL and relational transaction management.
P003,Database System Implementation,Hector Garcia-Molina; Jeffrey D. Ullman; Jennifer Widom,Stanford University; Stanford University; Stanford University,2000,10.5555/556275,Prentice Hall,book,2000,database systems; query execution; query optimization; storage management; transaction processing; concurrency control,"Comprehensive treatment of the implementation of database management systems. Covers storage structures, index structures, query processing algorithms, query optimization strategies, transaction management, concurrency control via two-phase locking, recovery mechanisms, and information integration architectures.",Megatron 3000 Benchmark,educational database benchmarking,Pedagogical Synthesis; Systems Architecture,Architectural; Educational,P001;P002;P004;P006,16,English,Prentice Hall,0-13-040264-8,Database System Implementation Garcia-Molina Ullman Widom.pdf,data/Database System Implementation Garcia-Molina Ullman Widom.pdf,374,https://scholar.google.com/scholar?q=Database+System+Implementation+Garcia-Molina+Ullman+Widom,2026-09-14,Definitive reference work for relational DBMS engine internals.
P004,The Volcano Optimizer Generator: Extensibility and Efficient Search,Goetz Graefe; William J. McKenna,Portland State University; University of Colorado at Boulder,1993,10.1109/ICDE.1993.344061,IEEE International Conference on Data Engineering,conference,1993,query optimization; Volcano optimizer; extensible query evaluation; dynamic programming; rule-based optimization; physical algebra,"Emerging database application domains demand not only new functionality but also high performance. To satisfy these requirements, the Volcano project provides efficient, extensible tools for query and request processing. One of these tools is a new optimizer generator translating data model, logical algebra, physical algebra, and transformation rules into optimizer source code using directed dynamic programming.",Synthetic Relational Queries; Wisconsin Benchmark,query optimization benchmarking,Rule-Based Transformation; Dynamic Programming,Algorithmic; Systems,P001;P002;P005,10,English,IEEE,1063-6382,The Volcano Optimizer Generator Extensibility and Efficient Search.pdf,data/The Volcano Optimizer Generator Extensibility and Efficient Search.pdf,1228,https://scholar.google.com/scholar?q=The+Volcano+Optimizer+Generator+Extensibility+and+Efficient+Search,2026-09-14,Forms planted citation cycle P004 -> P005 -> P007 -> P004 for viva cycle detection demo.
P005,Query Optimization,Yannis E. Ioannidis,"University of Wisconsin, Madison",1996,10.1145/234313.234367,ACM Computing Surveys,journal,1996,query optimization; search space; cost models; relational algebra; dynamic programming; randomized algorithms,"Given a query, there are many access plans that a database management system can follow to process it and produce its answer. All plans are equivalent in terms of final output but vary drastically in cost. This survey outlines the primary components of modern query optimizers: the search space of algebraic expressions, cost estimation models, and search algorithms including dynamic programming and randomized heuristics.",TPC-D; Wisconsin Benchmark,decision support benchmarking,Survey and Classification; Comparative Analysis,Qualitative; Analytical,P002;P007,3,English,ACM,0360-0300,Query Optimization in Database Systems Ioannidis.pdf,data/Query Optimization in Database Systems Ioannidis.pdf,182,https://scholar.google.com/scholar?q=Query+Optimization+in+Database+Systems+Ioannidis,2026-09-14,Part of planted citation cycle P004 -> P005 -> P007 -> P004.
P006,Modern B-Tree Techniques,Goetz Graefe,Hewlett-Packard Laboratories,2011,10.1561/1900000028,Foundations and Trends in Databases,journal,2011,B-trees; indexing; access methods; concurrency control; logging; query processing,"Modern B-Tree Techniques summarizes the state of the art in B-tree implementation, focusing on scalable concurrency control, high-performance latching, transactional logging, cache-conscious node sizing, prefix and suffix compression, and efficient support for batch insertions and index maintenance in contemporary database architectures.",TPC-C; TPC-E,OLTP benchmarking,Survey; Systems Architecture Analysis,Systems; Comprehensive Review,P002;P003;P004,23,English,now Publishers,1931-7883,A Survey of B-Tree and Hashing Techniques database.pdf,data/A Survey of B-Tree and Hashing Techniques database.pdf,206,https://scholar.google.com/scholar?q=A+Survey+of+B-Tree+and+Hashing+Techniques+database,2026-09-14,"Authored by Goetz Graefe, sharing authorship with Volcano (P004)."
P007,Towards a Robust Query Optimizer: A Principled and Practical Approach,Brian Babcock; Surajit Chaudhuri,Stanford University; Microsoft Research,2005,10.1145/1066157.1066172,ACM SIGMOD Conference on Management of Data,conference,2005,robust query optimization; risk management; cardinality estimation; plan choice; error estimation,"Research on query optimization has focused almost exclusively on reducing query execution time, while qualities such as consistency and predictability have largely been ignored. We explore how query optimization can be made more robust, focusing on minimizing risk caused by estimation errors in cardinality. We present formal models and practical algorithms that choose robust execution plans.",TPC-H; Microsoft Production Telemetry,decision support benchmarking; commercial workloads,Empirical Benchmarking; Statistical Modeling,Quantitative; Empirical,P004,12,English,ACM,0730-8078,Towards a robust query optimizer a principled and practical approach.pdf,data/Towards a robust query optimizer a principled and practical approach.pdf,538,https://scholar.google.com/scholar?q=Towards+a+robust+query+optimizer+a+principled+and+practical+approach,2026-09-14,Completes planted cycle P004 -> P005 -> P007 -> P004.
P008,The R*-tree: An Efficient and Robust Access Method for Points and Rectangles,Norbert Beckmann; Hans-Peter Kriegel; Ralf Schneider; Bernhard Seeger,University of Bremen; University of Bremen; University of Bremen; University of Bremen,1990,10.1145/93597.98741,ACM SIGMOD Conference on Management of Data,conference,1990,R*-tree; spatial indexing; multidimensional access methods; bounding rectangles; range query; nearest neighbor,"The R-tree, one of the most popular access methods for rectangles, is based on heuristic optimization of the area of the enclosing rectangle in each inner node. We present the R*-tree which incorporates a combined optimization of area, margin, and overlap of each enclosing rectangle in the directory. Exhaustive experiments demonstrate performance gains up to 50 percent for spatial queries.",Synthetic Spatial Rectangles; Geographic Coordinates,spatial geometry; GIS benchmarks,Empirical Benchmarking; Algorithmic Optimization,Quantitative; Systems,P001;P002,10,English,ACM,0730-8078,The R-Tree An Efficient and Robust Access Method.pdf,data/The R-Tree An Efficient and Robust Access Method.pdf,1116,https://scholar.google.com/scholar?q=The+R*-Tree+An+Efficient+and+Robust+Access+Method,2026-09-14,Classic multidimensional spatial index structure.
P009,A Survey of Top-k Query Processing Techniques in Relational Database Systems,Ihab F. Ilyas; George Beskales; Mohamed A. Soliman,University of Waterloo; University of Waterloo; University of Waterloo,2008,10.1145/1391729.1391730,ACM Computing Surveys,journal,2008,top-k; query processing; rank-aware processing; relational databases; scoring functions,"Efficient processing of top-k queries is a crucial requirement in many interactive environments involving massive data. In this survey, we classify top-k processing techniques in relational databases across query models, access methods, implementation levels, data certainty, and supported scoring functions, contrasting rank-aware query operators with traditional relational operators.",TPC-H; Synthetic Preference Benchmarks,decision support; relational benchmarks,Taxonomy Classification; Comparative Analysis,Analytical; Systematic Review,P002;P004;P005;P008,58,English,ACM,0360-0300,A Survey of Top-k Query Processing Techniques.pdf,data/A Survey of Top-k Query Processing Techniques.pdf,1974,https://scholar.google.com/scholar?q=A+survey+of+top-k+query+processing+techniques+in+relational+database+systems,2026-09-14,Comprehensive survey bridging index access and query ranking.
P010,The Google File System,Sanjay Ghemawat; Howard Gobioff; Shun-Tak Leung,"Google, Inc.; Google, Inc.; Google, Inc.",2003,10.1145/945445.945450,ACM Symposium on Operating Systems Principles,conference,2003,Google File System; distributed file system; chunkserver; fault tolerance; high throughput; append-only,"We have designed and implemented the Google File System, a scalable distributed file system for large distributed data-intensive applications. It provides fault tolerance while running on inexpensive commodity hardware, and it delivers high aggregate performance to a large number of clients. The design reflects a marked departure from earlier file system assumptions by optimizing for large streaming reads and concurrent appends.",Google Production Clusters Workload,distributed web-scale telemetry,System Architecture; Empirical Measurement,Systems; Experimental,,15,English,ACM,0163-5980,The Google File System.pdf,data/The Google File System.pdf,269,https://scholar.google.com/scholar?q=The+Google+File+System,2026-09-14,Underlying storage foundation for MapReduce and Bigtable.
